DEFAULT,0m
ENDC,0m
KPROMPT,48;5;88m
BLACK_1,38;05;16m
BLACK_2,38;05;232m
BLACK_3,38;05;233m
BLUE_1,38;05;4m
BLUE_2,38;05;6m
BLUE_3,38;05;12m
BLUE_4,38;05;14m
BLUE_5,38;05;17m
BLUE_6,38;05;18m
BLUE_7,38;05;19m
BLUE_8,38;05;20m
BLUE_9,38;05;21m
BLUE_10,38;05;24m
BLUE_11,38;05;25m
BLUE_12,38;05;26m
BLUE_13,38;05;27m
BLUE_14,38;05;32m
BLUE_15,38;05;37m
BLUE_16,38;05;38m
BLUE_17,38;05;44m
BLUE_18,38;05;45m
BLUE_19,38;05;50m
BLUE_20,38;05;51m
BLUE_21,38;05;74m
BLUE_22,38;05;75m
BLUE_23,38;05;80m
BLUE_24,38;05;81m
BLUE_25,38;05;87m
BLUE_26,38;05;110m
BLUE_27,38;05;111m
BLUE_28,38;05;116m
BLUE_29,38;05;117m
BLUE_30,38;05;122m
BLUE_31,38;05;123m
BLUE_32,38;05;153m
BLUE_33,38;05;159m
BLUE_34,38;05;195m
BROWN_1,38;05;137m
BROWN_2,38;05;138m
GREEN_1,38;05;2m
GREEN_2,38;05;10m
GREEN_3,38;05;22m
GREEN_4,38;05;23m
GREEN_5,38;05;28m
GREEN_6,38;05;29m
GREEN_7,38;05;30m
GREEN_8,38;05;31m
GREEN_9,38;05;33m
GREEN_10,38;05;34m
GREEN_11,38;05;35m
GREEN_12,38;05;36m
GREEN_13,38;05;39m
GREEN_14,38;05;40m
GREEN_15,38;05;41m
GREEN_16,38;05;42m
GREEN_17,38;05;43m
GREEN_18,38;05;46m
GREEN_19,38;05;47m
GREEN_20,38;05;48m
GREEN_21,38;05;49m
GREEN_22,38;05;64m
GREEN_23,38;05;65m
GREEN_24,38;05;69m
GREEN_25,38;05;70m
GREEN_26,38;05;71m
GREEN_27,38;05;72m
GREEN_28,38;05;73m
GREEN_29,38;05;76m
GREEN_30,38;05;77m
GREEN_31,38;05;78m
GREEN_32,38;05;79m
GREEN_33,38;05;82m
GREEN_34,38;05;83m
GREEN_35,38;05;84m
GREEN_36,38;05;85m
GREEN_37,38;05;86m
GREEN_38,38;05;106m
GREEN_39,38;05;107m
GREEN_40,38;05;108m
GREEN_41,38;05;109m
GREEN_42,38;05;112m
GREEN_43,38;05;113m
GREEN_44,38;05;114m
GREEN_45,38;05;115m
GREEN_46,38;05;118m
GREEN_47,38;05;119m
GREEN_48,38;05;120m
GREEN_49,38;05;121m
GREEN_50,38;05;143m
GREEN_51,38;05;148m
GREEN_52,38;05;149m
GREEN_53,38;05;150m
GREEN_54,38;05;151m
GREEN_55,38;05;152m
GREEN_56,38;05;154m
GREEN_57,38;05;155m
GREEN_58,38;05;156m
GREEN_59,38;05;157m
GREEN_60,38;05;158m
GREEN_61,38;05;190m
GREEN_62,38;05;191m
GREEN_63,38;05;192m
GREEN_64,38;05;193m
GREEN_65,38;05;194m
GREY_1,38;05;8m
GREY_2,38;05;66m
GREY_3,38;05;102m
GREY_4,38;05;144m
GREY_5,38;05;145m
GREY_6,38;05;188m
GREY_7,38;05;189m
GREY_8,38;05;234m
GREY_9,38;05;235m
GREY_10,38;05;236m
GREY_11,38;05;237m
GREY_12,38;05;238m
GREY_13,38;05;239m
GREY_14,38;05;240m
GREY_15,38;05;241m
GREY_16,38;05;242m
GREY_17,38;05;243m
GREY_18,38;05;244m
GREY_19,38;05;245m
GREY_20,38;05;246m
GREY_21,38;05;247m
GREY_22,38;05;248m
GREY_23,38;05;249m
GREY_24,38;05;250m
GREY_25,38;05;251m
ORANGE_1,38;05;130m
ORANGE_2,38;05;166m
ORANGE_3,38;05;172m
ORANGE_4,38;05;173m
ORANGE_5,38;05;202m
ORANGE_6,38;05;208m
ORANGE_7,38;05;209m
ORANGE_8,38;05;210m
PINK_1,38;05;125m
PINK_2,38;05;126m
PINK_3,38;05;131m
PINK_4,38;05;132m
PINK_5,38;05;161m
PINK_6,38;05;162m
PINK_7,38;05;163m
PINK_8,38;05;164m
PINK_9,38;05;167m
PINK_10,38;05;168m
PINK_11,38;05;169m
PINK_12,38;05;174m
PINK_13,38;05;175m
PINK_14,38;05;177m
PINK_15,38;05;181m
PINK_16,38;05;197m
PINK_17,38;05;198m
PINK_18,38;05;199m
PINK_19,38;05;200m
PINK_20,38;05;201m
PINK_21,38;05;204m
PINK_22,38;05;205m
PINK_23,38;05;206m
PINK_24,38;05;207m
PINK_25,38;05;211m
PINK_26,38;05;212m
PINK_27,38;05;213m
PINK_28,38;05;217m
PINK_29,38;05;218m
PINK_30,38;05;219m
PINK_31,38;05;225m
PURPLE_1,38;05;5m
PURPLE_2,38;05;13m
PURPLE_3,38;05;53m
PURPLE_4,38;05;54m
PURPLE_5,38;05;55m
PURPLE_6,38;05;56m
PURPLE_7,38;05;57m
PURPLE_8,38;05;59m
PURPLE_9,38;05;60m
PURPLE_10,38;05;61m
PURPLE_11,38;05;62m
PURPLE_12,38;05;63m
PURPLE_13,38;05;67m
PURPLE_14,38;05;68m
PURPLE_15,38;05;89m
PURPLE_16,38;05;90m
PURPLE_17,38;05;91m
PURPLE_18,38;05;92m
PURPLE_19,38;05;93m
PURPLE_20,38;05;96m
PURPLE_21,38;05;97m
PURPLE_22,38;05;98m
PURPLE_23,38;05;99m
PURPLE_24,38;05;103m
PURPLE_25,38;05;104m
PURPLE_26,38;05;105m
PURPLE_27,38;05;127m
PURPLE_28,38;05;128m
PURPLE_29,38;05;129m
